1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
68.7;43;115.5;0;0
61.7;44.1;115.6;0;0
51.9;45.6;115.6;0;0
44.1;47.5;115.6;0;0
41.5;49.3;115.6;0;0
38.4;50.9;115.6;0;0
35.6;52;115.6;0;0
34.1;52.6;115.6;0;0
30.2;52.6;115.6;0;0
26.2;52.2;115.6;0;0
24.4;51.7;115.6;0;0
22.7;51.1;115.7;0;0
21.7;50.6;115.7;0;0
22;50.3;115.7;0;0
22.5;50.1;115.7;0;0
24.6;50;115.7;0;0
29.3;49.8;115.7;0;0
33.4;49.6;115.7;0;0
38.9;49.2;115.7;0;0
47.7;48.5;115.7;0;0
55.8;47.7;115.7;0;0
63.4;46.8;115.8;0.1;0.1
70.8;45.8;115.8;0.4;0.7
75;44.8;115.8;1.1;2
76.3;43.7;115.8;2.1;4.1
75.5;42.7;115.8;3.5;7.2
73.4;41.7;115.8;5.2;10.8
70.6;40.7;115.8;6.9;14.6
67.7;39.8;115.8;8.6;18.4
64.3;38.9;115.8;10.3;21.9
61;38;115.8;11.7;24.8
58.5;37.3;115.9;12.9;27
56.8;36.5;115.9;13.9;28.6
55.9;35.8;115.9;14.6;29.6
56.1;35.1;115.9;15.2;30.2
57.6;34.3;115.9;15.6;30.1
59.1;33.6;115.9;15.8;29.6
59.4;32.8;115.9;15.7;28.5
62;32.1;115.9;15.4;26.9
64.8;31.5;115.9;14.9;24.8
65.6;31.1;116;14;22.3
68;30.9;116;12.8;19.3
72;30.9;116;11.4;16.1
76.3;31.2;116;9.6;12.7
78.4;31.6;116;7.6;9.4
79.8;32.1;116;5.5;6.4
82.4;32.5;116;3.5;3.8
84.1;32.7;116;1.7;1.8
85;32.6;116;0.5;0.5
85.3;32.1;116;0;0
85.1;31.4;116.1;0;0
85.5;30.6;116.1;0;0
87;30;116.1;0.1;0
89.9;29.5;116.1;0;0
93.1;29.4;116.1;0;0
95.8;29.6;116.1;0;0
100;30.1;116.1;0;0
103.1;30.6;116.1;0;0
102.4;30.9;116.1;0;0
100.2;31;116.1;0;0
97.2;30.5;116.2;0;0
93.6;29.5;116.2;0;0
90.6;28.2;116.2;0;0
88.5;26.8;116.2;0;0
87;25.4;116.2;0;0
85.1;24.3;116.2;0;0
83.8;23.7;116.2;0;0
84.6;23.4;116.2;0;0
91.2;23.5;116.2;0;0
96;23.8;116.2;0;0
92.6;24.1;116.3;0;0
91.1;24.4;116.3;0;0
89.4;24.5;116.3;0;0
83.8;24.3;116.3;0;0
76;23.9;116.3;0;0
70.4;23.4;116.3;0;0
70.3;22.8;116.3;0;0
69.3;22.3;116.3;0;0
68.1;21.8;116.3;0;0
67.4;21.5;116.3;0;0
63.6;21.3;116.4;0;0
59.1;21.3;116.4;0;0
56.7;21.5;116.4;0;0
53.9;21.8;116.4;0;0
51.6;22.4;116.4;0;0
50.6;23.1;116.4;0;0
49.9;24;116.4;0;0
50.7;25;116.4;0;0
54.3;25.8;116.4;0;0
57.3;26.5;116.4;0;0
62;26.8;116.4;0;0
70.5;26.8;116.4;0;0
78.2;26.5;116.4;0;0
85.3;26.1;116.4;0.1;0.1
92;25.7;116.4;0.4;0.8
95;25.3;116.3;1.2;2.1
94.6;25.2;116.3;2.4;4.2
91.9;25.3;116.3;4.3;7
87.9;25.7;116.3;6.6;10.2
83.4;26.1;116.3;9.1;13.3
79.1;26.6;116.3;11.7;16.2
74.5;27;116.3;14.3;18.7
70.2;27.4;116.3;16.6;20.7
66.7;27.5;116.2;18.6;22.1
64.2;27.4;116.2;20.2;23.1
62.8;27.3;116.2;21.5;23.7
62.5;27;116.2;22.3;23.9
63.6;26.6;116.2;22.8;23.8
64.2;26.2;116.2;23;23.5
63.5;25.8;116.2;22.8;22.9
65.5;25.5;116.2;22.3;22.1
67.5;25.3;116.1;21.4;21
67.2;25.3;116.1;19.9;19.6
68.7;25.5;116.1;18;17.7
72.2;26;116.1;15.6;15.4
76.4;26.8;116.1;12.7;12.6
78.5;27.9;116.1;9.6;9.7
80.1;29;116.1;6.6;6.8
82.7;30.2;116.1;3.9;4.1
84.1;31.3;116;1.8;2
84.2;32;116;0.5;0.6
83.7;32.4;116;0;0
82.7;32.6;116;0;0
82.5;32.6;116;0;0
83.5;32.7;116;0;0.1
85.7;32.9;116;0;0
88.1;33.3;116;0;0
90.3;34.2;115.9;0;0
93.9;35.2;115.9;0;0
