2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
18.3;82.8;41.9;6.6;10;26.6;8.4;3.1;5.4;12;13.1
17.8;80.7;40.8;6.4;9.7;26;8.2;3.1;5.3;11.7;12.8
17.2;77.8;39.3;6.2;9.4;25;7.9;2.9;5.1;11.3;12.3
16.7;75.6;38.2;6;9.1;24.3;7.7;2.9;5;10.9;12
16.6;75.3;38;6;9.1;24.2;7.6;2.9;4.9;10.9;11.9
16.5;74.7;37.8;6;9;24;7.6;2.8;4.9;10.8;11.8
16.4;74.1;37.4;5.9;8.9;23.8;7.5;2.8;4.9;10.7;11.7
16.3;73.7;37.2;5.9;8.9;23.7;7.5;2.8;4.8;10.7;11.7
16;72.3;36.5;5.8;8.7;23.3;7.3;2.7;4.7;10.5;11.4
15.6;70.7;35.7;5.7;8.5;22.7;7.2;2.7;4.6;10.2;11.2
15.4;69.9;35.3;5.6;8.4;22.5;7.1;2.7;4.6;10.1;11.1
15.2;69;34.9;5.5;8.3;22.2;7;2.6;4.5;10;10.9
15.1;68.4;34.6;5.5;8.3;22;6.9;2.6;4.5;9.9;10.8
15.1;68.4;34.5;5.5;8.3;22;6.9;2.6;4.5;9.9;10.8
15.1;68.4;34.6;5.5;8.3;22;6.9;2.6;4.5;9.9;10.8
15.3;69.1;34.9;5.5;8.3;22.2;7;2.6;4.5;10;10.9
15.6;70.6;35.7;5.6;8.5;22.7;7.2;2.7;4.6;10.2;11.2
15.9;71.9;36.3;5.7;8.7;23.1;7.3;2.7;4.7;10.4;11.4
16.3;73.7;37.2;5.9;8.9;23.7;7.5;2.8;4.8;10.7;11.7
16.9;76.5;38.6;6.1;9.2;24.6;7.8;2.9;5;11.1;12.1
17.5;79;39.9;6.3;9.5;25.4;8;3;5.2;11.5;12.5
18;81.4;41.1;6.5;9.8;26.2;8.3;3.1;5.3;11.8;12.9
18.5;83.9;42.4;6.7;10.1;27;8.5;3.2;5.5;12.2;13.3
