19,85.1,41.7,6.5,9.7,25.8,8.1,3,5.4,12.1,13.4
18.8;84.9;41.5;6.6;9.6;26;8.2;3;5.4;11.7;13.4
17.8;79.1;39;6.2;9.3;24.3;7.8;2.8;5.2;11.3;12.7
17;76.6;37.6;6;8.7;23.6;7.4;2.7;4.9;10.5;12
16.8;75.4;37.6;5.8;8.6;23.6;7.4;2.7;4.9;10.5;11.8
16.6;74.3;37;5.8;8.6;23.2;7.3;2.7;4.8;10.5;11.6
16;72.3;35.6;5.6;8.3;22.1;7.2;2.6;4.6;10.1;11.3
15.8;70.8;34.9;5.5;8.2;21.8;6.9;2.5;4.5;9.7;11.1
15.4;70.3;34.5;5.4;8.1;21.4;6.9;2.5;4.5;9.7;11.1
15.5;68.8;34.8;5.2;8;21.5;6.8;2.5;4.5;9.9;11.2
16;72.8;35.4;5.5;8.2;22.1;7;2.6;4.6;10.1;11.3
16.6;74.3;37.1;5.8;8.6;22.5;7.1;2.6;4.7;10.5;11.5
17.6;78.6;38.5;6.1;9.1;24.6;7.7;2.8;5.1;11.2;12.7
18.9;83.6;40.7;6.5;9.6;25.7;8.2;3;5.5;11.8;13.4
19.7;88.4;43.1;6.9;9.9;26.8;8.7;3.2;5.6;12.2;13.8
20.1;89.2;44.5;7;10.2;27.8;8.8;3.2;5.8;12.6;14.5
20.1;91.6;45;7.2;10.5;28.4;8.9;3.3;5.8;12.7;14.4
20.3;91.2;46.1;7.2;10.7;27.9;9.1;3.2;5.9;12.9;14.5
20.9;91;45.8;7.2;10.6;28.9;9;3.3;5.9;12.9;14.6
20.6;92.5;46.1;7.2;10.8;28.5;9.2;3.3;5.9;13;14.6
20.7;93.2;46.3;7.2;11;28.7;9;3.3;6;13.1;14.5
20.8;93.8;46.2;7.2;10.7;29;9.2;3.3;6;13.3;14.9
20.9;92.9;46.5;7.3;10.9;28.6;9.1;3.3;5.9;13.1;14.7
21;94.3;46.6;7.3;10.6;29.1;9.1;3.3;6;12.9;14.8
20.4;91.4;44.7;7.2;10.6;28.4;9.1;3.3;5.8;12.8;14.4
20.7;92.7;45.1;7;10.3;28;9;3.2;5.8;12.8;14.5
20.1;90.5;44.2;7;10.4;27.3;8.8;3.2;5.8;12.5;14.1
19.8;86.9;43.4;6.9;10.1;27.6;8.7;3.1;5.7;12.6;14.1
19.1;86.8;43.9;6.8;9.9;26.8;8.4;3.1;5.7;12.3;13.6
19.1;85.2;42.2;6.7;9.9;27.1;8.2;3.1;5.6;12;13.8
19.4;86.9;42.2;6.6;10;26.5;8.3;3;5.6;12.2;13.5
19.3;86.9;42.7;6.7;10.1;26.5;8.5;3.1;5.5;12;13.7
19.7;89.4;43.8;6.8;10.4;26.9;8.7;3.1;5.6;12.3;14
20.2;92.3;46;7;10.6;28;8.9;3.2;5.8;12.7;13.9
20.6;92.7;46;7.3;10.6;28.4;8.9;3.3;5.9;12.7;14.6
19.8;90.7;43.9;7;10.5;27.5;8.8;3.2;5.7;12.7;14.4
19.7;87.7;43.4;7;10;27;8.6;3.1;5.6;12.3;14.2
19;85.7;42.2;6.6;9.8;26.6;8.4;3.1;5.5;12;13.6
18.2;84.1;41.7;6.5;9.6;25.6;8.1;3;5.4;11.6;13.4
18.7;82.3;41.4;6.5;9.5;25.5;8;2.9;5.3;11.4;13.1
19;86.8;42.6;6.8;10.1;26.4;8.5;3.1;5.5;11.9;13.7
19;85.2;42.3;6.8;9.9;26.4;8.5;3;5.5;11.9;13.4
