1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
106;101;107;104.5;109
