date;time
2018-Jan-04;00:00
2018-Jan-04;00:35
2018-Jan-04;01:10
2018-Jan-04;01:45
2018-Jan-04;02:20
2018-Jan-04;02:55
2018-Jan-04;03:30
2018-Jan-04;04:05
2018-Jan-04;04:40
2018-Jan-04;05:15
2018-Jan-04;05:50
2018-Jan-04;06:25
2018-Jan-04;07:00
2018-Jan-04;07:35
2018-Jan-04;08:10
2018-Jan-04;08:45
2018-Jan-04;09:20
2018-Jan-04;09:55
2018-Jan-04;10:30
2018-Jan-04;11:05
2018-Jan-04;11:40
2018-Jan-04;12:15
2018-Jan-04;12:50
2018-Jan-04;13:25
2018-Jan-04;14:00
2018-Jan-04;14:35
2018-Jan-04;15:10
2018-Jan-04;15:45
2018-Jan-04;16:20
2018-Jan-04;16:55
2018-Jan-04;17:30
2018-Jan-04;18:05
2018-Jan-04;18:40
2018-Jan-04;19:15
2018-Jan-04;19:50
2018-Jan-04;20:25
2018-Jan-04;21:00
2018-Jan-04;21:35
2018-Jan-04;22:10
2018-Jan-04;22:45
2018-Jan-04;23:20
2018-Jan-04;23:55
2018-Jan-05;00:30
2018-Jan-05;01:05
2018-Jan-05;01:40
2018-Jan-05;02:15
2018-Jan-05;02:50
2018-Jan-05;03:25
2018-Jan-05;04:00
2018-Jan-05;04:35
2018-Jan-05;05:10
2018-Jan-05;05:45
2018-Jan-05;06:20
2018-Jan-05;06:55
2018-Jan-05;07:30
2018-Jan-05;08:05
2018-Jan-05;08:40
2018-Jan-05;09:15
2018-Jan-05;09:50
2018-Jan-05;10:25
2018-Jan-05;11:00
2018-Jan-05;11:35
2018-Jan-05;12:10
2018-Jan-05;12:45
2018-Jan-05;13:20
2018-Jan-05;13:55
2018-Jan-05;14:30
2018-Jan-05;15:05
2018-Jan-05;15:40
2018-Jan-05;16:15
2018-Jan-05;16:50
2018-Jan-05;17:25
2018-Jan-05;18:00
2018-Jan-05;18:35
2018-Jan-05;19:10
2018-Jan-05;19:45
2018-Jan-05;20:20
2018-Jan-05;20:55
2018-Jan-05;21:30
2018-Jan-05;22:05
2018-Jan-05;22:40
2018-Jan-05;23:15
2018-Jan-05;23:50
2018-Jan-06;00:25
2018-Jan-06;01:00
2018-Jan-06;01:35
2018-Jan-06;02:10
2018-Jan-06;02:45
2018-Jan-06;03:20
2018-Jan-06;03:55
2018-Jan-06;04:30
2018-Jan-06;05:05
2018-Jan-06;05:40
2018-Jan-06;06:15
2018-Jan-06;06:50
2018-Jan-06;07:25
2018-Jan-06;08:00
2018-Jan-06;08:35
2018-Jan-06;09:10
2018-Jan-06;09:45
2018-Jan-06;10:20
2018-Jan-06;10:55
2018-Jan-06;11:30
2018-Jan-06;12:05
2018-Jan-06;12:40
2018-Jan-06;13:15
2018-Jan-06;13:50
2018-Jan-06;14:25
2018-Jan-06;15:00
2018-Jan-06;15:35
2018-Jan-06;16:10
2018-Jan-06;16:45
2018-Jan-06;17:20
2018-Jan-06;17:55
2018-Jan-06;18:30
2018-Jan-06;19:05
2018-Jan-06;19:40
2018-Jan-06;20:15
2018-Jan-06;20:50
2018-Jan-06;21:25
2018-Jan-06;22:00
2018-Jan-06;22:35
2018-Jan-06;23:10
2018-Jan-06;23:45
2018-Jan-07;00:20
2018-Jan-07;00:55
2018-Jan-07;01:30
2018-Jan-07;02:05
2018-Jan-07;02:40
2018-Jan-07;03:15
2018-Jan-07;03:50
2018-Jan-07;04:25
2018-Jan-07;05:00
2018-Jan-07;05:35
2018-Jan-07;06:10
2018-Jan-07;06:45
2018-Jan-07;07:20
2018-Jan-07;07:55
2018-Jan-07;08:30
2018-Jan-07;09:05
2018-Jan-07;09:40
2018-Jan-07;10:15
2018-Jan-07;10:50
2018-Jan-07;11:25
2018-Jan-07;12:00
2018-Jan-07;12:35
2018-Jan-07;13:10
2018-Jan-07;13:45
2018-Jan-07;14:20
2018-Jan-07;14:55
2018-Jan-07;15:30
2018-Jan-07;16:05
2018-Jan-07;16:40
2018-Jan-07;17:15
2018-Jan-07;17:50
2018-Jan-07;18:25
2018-Jan-07;19:00
2018-Jan-07;19:35
2018-Jan-07;20:10
2018-Jan-07;20:45
2018-Jan-07;21:20
2018-Jan-07;21:55
2018-Jan-07;22:30
2018-Jan-07;23:05
2018-Jan-07;23:40
2018-Jan-08;00:15
2018-Jan-08;00:50
2018-Jan-08;01:25
2018-Jan-08;02:00
2018-Jan-08;02:35
2018-Jan-08;03:10
2018-Jan-08;03:45
2018-Jan-08;04:20
2018-Jan-08;04:55
2018-Jan-08;05:30
2018-Jan-08;06:05
2018-Jan-08;06:40
2018-Jan-08;07:15
2018-Jan-08;07:50
2018-Jan-08;08:25
2018-Jan-08;09:00
2018-Jan-08;09:35
2018-Jan-08;10:10
2018-Jan-08;10:45
2018-Jan-08;11:20
2018-Jan-08;11:55
2018-Jan-08;12:30
2018-Jan-08;13:05
2018-Jan-08;13:40
2018-Jan-08;14:15
2018-Jan-08;14:50
2018-Jan-08;15:25
2018-Jan-08;16:00
2018-Jan-08;16:35
2018-Jan-08;17:10
2018-Jan-08;17:45
2018-Jan-08;18:20
2018-Jan-08;18:55
2018-Jan-08;19:30
2018-Jan-08;20:05
2018-Jan-08;20:40
2018-Jan-08;21:15
2018-Jan-08;21:50
2018-Jan-08;22:25
2018-Jan-08;23:00
2018-Jan-08;23:35
2018-Jan-09;00:10
2018-Jan-09;00:45
2018-Jan-09;01:20
2018-Jan-09;01:55
2018-Jan-09;02:30
2018-Jan-09;03:05
2018-Jan-09;03:40
2018-Jan-09;04:15
2018-Jan-09;04:50
2018-Jan-09;05:25
2018-Jan-09;06:00
2018-Jan-09;06:35
2018-Jan-09;07:10
2018-Jan-09;07:45
2018-Jan-09;08:20
2018-Jan-09;08:55
2018-Jan-09;09:30
2018-Jan-09;10:05
2018-Jan-09;10:40
2018-Jan-09;11:15
2018-Jan-09;11:50
2018-Jan-09;12:25
2018-Jan-09;13:00
2018-Jan-09;13:35
2018-Jan-09;14:10
2018-Jan-09;14:45
2018-Jan-09;15:20
2018-Jan-09;15:55
2018-Jan-09;16:30
2018-Jan-09;17:05
2018-Jan-09;17:40
2018-Jan-09;18:15
2018-Jan-09;18:50
2018-Jan-09;19:25
2018-Jan-09;20:00
2018-Jan-09;20:35
2018-Jan-09;21:10
2018-Jan-09;21:45
2018-Jan-09;22:20
2018-Jan-09;22:55
2018-Jan-09;23:30
2018-Jan-10;00:05
2018-Jan-10;00:40
2018-Jan-10;01:15
2018-Jan-10;01:50
2018-Jan-10;02:25
2018-Jan-10;03:00
2018-Jan-10;03:35
2018-Jan-10;04:10
2018-Jan-10;04:45
2018-Jan-10;05:20
2018-Jan-10;05:55
2018-Jan-10;06:30
2018-Jan-10;07:05
2018-Jan-10;07:40
2018-Jan-10;08:15
2018-Jan-10;08:50
2018-Jan-10;09:25
2018-Jan-10;10:00
2018-Jan-10;10:35
2018-Jan-10;11:10
2018-Jan-10;11:45
2018-Jan-10;12:20
2018-Jan-10;12:55
2018-Jan-10;13:30
2018-Jan-10;14:05
2018-Jan-10;14:40
2018-Jan-10;15:15
2018-Jan-10;15:50
2018-Jan-10;16:25
2018-Jan-10;17:00
2018-Jan-10;17:35
2018-Jan-10;18:10
2018-Jan-10;18:45
2018-Jan-10;19:20
2018-Jan-10;19:55
2018-Jan-10;20:30
2018-Jan-10;21:05
2018-Jan-10;21:40
2018-Jan-10;22:15
2018-Jan-10;22:50
2018-Jan-10;23:25
2018-Jan-11;00:00
2018-Jan-11;00:35
2018-Jan-11;01:10
2018-Jan-11;01:45
2018-Jan-11;02:20
2018-Jan-11;02:55
2018-Jan-11;03:30
2018-Jan-11;04:05
2018-Jan-11;04:40
2018-Jan-11;05:15
2018-Jan-11;05:50
2018-Jan-11;06:25
2018-Jan-11;07:00
2018-Jan-11;07:35
2018-Jan-11;08:10
2018-Jan-11;08:45
2018-Jan-11;09:20
2018-Jan-11;09:55
2018-Jan-11;10:30
2018-Jan-11;11:05
2018-Jan-11;11:40
2018-Jan-11;12:15
2018-Jan-11;12:50
2018-Jan-11;13:25
2018-Jan-11;14:00
2018-Jan-11;14:35
2018-Jan-11;15:10
2018-Jan-11;15:45
2018-Jan-11;16:20
2018-Jan-11;16:55
2018-Jan-11;17:30
2018-Jan-11;18:05
2018-Jan-11;18:40
2018-Jan-11;19:15
2018-Jan-11;19:50
2018-Jan-11;20:25
2018-Jan-11;21:00
2018-Jan-11;21:35
2018-Jan-11;22:10
2018-Jan-11;22:45
2018-Jan-11;23:20
2018-Jan-11;23:55
2018-Jan-12;00:30
2018-Jan-12;01:05
2018-Jan-12;01:40
2018-Jan-12;02:15
2018-Jan-12;02:50
2018-Jan-12;03:25
2018-Jan-12;04:00
2018-Jan-12;04:35
2018-Jan-12;05:10
2018-Jan-12;05:45
2018-Jan-12;06:20
2018-Jan-12;06:55
2018-Jan-12;07:30
