2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
14;59.3;29.6;4.7;7.1;18.9;5.5;2.2;3.9;8.4;9.5
13.2;55.9;29.2;4.6;6.7;18.3;5.2;2;3.6;7.9;9.1
12.6;53.8;28;4.2;6.3;16.9;5;1.9;3.4;7.5;8.7
12.3;53.9;27.5;4.2;6.3;17.2;5;1.9;3.4;7.7;8.6
12.4;53.3;27.3;4.2;6.2;16.9;4.9;1.9;3.3;7.6;8.4
12;50.9;26;4;6.1;16.1;4.8;1.8;3.2;7.1;8.2
11.4;49.2;25.8;3.9;5.9;15.8;4.6;1.8;3.1;7.1;7.9
11.4;49.1;25.1;3.8;5.8;15.7;4.6;1.7;3.1;7;7.9
11.4;48.6;25.2;3.8;5.7;15.4;4.6;1.7;3.2;6.9;7.9
11.4;50.2;26;4;5.9;16;4.6;1.8;3.2;7.1;8.1
12.1;51;26.4;4.1;6.1;16.3;4.8;1.8;3.3;7.3;8.2
12.7;54.7;28.4;4.3;6.4;17.4;5.1;2;3.5;7.7;8.8
13.7;57.6;29.8;4.6;6.8;18.4;5.4;2.1;3.7;8.1;9.2
14.4;60.8;31.5;4.8;7.1;19.1;5.8;2.2;4;8.5;9.8
14.5;62.4;31.7;4.9;7.4;19.8;5.7;2.2;4;8.7;9.9
15;62.7;32.5;5;7.4;19.9;5.8;2.2;4;9;10
15;63.8;32.9;5;7.5;20.3;6.1;2.3;4;9.2;10.1
15.1;63.8;33.3;5.1;7.7;20.4;6;2.3;4.1;9.2;10.1
14.9;63.6;33;5.1;7.5;20.6;6;2.3;4.1;9.1;10.5
14.6;63.3;33.2;5;7.5;20.6;6;2.3;4.1;9;10.4
15.1;64.6;34;5.1;7.6;20.5;6;2.3;4.1;9;10.3
15;64.7;33.4;5.1;7.6;20.4;6.1;2.3;4.1;9.1;10.4
15;62.9;33.2;5.1;7.6;20.5;6.1;2.3;4.1;9.1;10.3
14.8;62.5;33.2;4.9;7.4;20.2;5.9;2.2;4;9;10.1
14.6;62.3;32.2;4.9;7.4;20.2;5.9;2.2;4;8.7;10.1
14.3;61.8;32;4.8;7.2;19.3;5.8;2.2;3.9;8.6;10
14;59.8;30.3;4.7;7.1;19.1;5.6;2.1;3.9;8.4;9.7
13.8;59.7;30.6;4.7;7;19;5.5;2.1;3.8;8.3;9.7
13.5;59;30;4.7;6.7;18.6;5.5;2.1;3.7;8.2;9.4
13.6;57.6;29.9;4.6;6.9;18.5;5.4;2.1;3.7;8.4;9.3
13.6;58.5;30.3;4.6;7.1;18.8;5.4;2.1;3.8;8.2;9.3
13.8;59;30.8;4.7;7.1;19;5.6;2.1;3.8;8.5;9.6
14.4;60.6;31.7;4.9;7.3;19.2;5.7;2.1;4;8.5;9.9
14.7;63.3;32.1;4.8;7.3;19.4;5.8;2.2;4;8.9;10.1
14.4;62.1;31.3;4.9;7.1;19.2;5.8;2.2;3.9;8.7;9.8
14;57.5;31.1;4.8;7;18.5;5.6;2.1;3.8;8.5;9.7
13.8;57.4;30.1;4.7;6.8;18.6;5.4;2;3.8;8.1;9.4
13.3;56.4;29.4;4.5;6.8;18.2;5.3;2;3.7;8.2;9.2
13.2;57.4;29.1;4.4;6.6;17.7;5.3;2;3.6;8;9
13.2;57.6;31;4.6;6.8;18.5;5.5;2.1;3.7;8.2;9.6
14.1;58.2;30.4;4.7;7.1;19;5.5;2.1;3.8;8.5;9.7
13.5;58.6;30.7;4.6;7;18.7;5.5;2.1;3.8;8.3;9.5
12.9;54.9;29.2;4.5;6.6;17.8;5.2;2;3.5;7.9;9
12.3;51.9;27.4;4.2;6.3;16.8;4.9;1.9;3.4;7.6;8.5
12.2;51;27;4.2;6.2;16.7;4.9;1.9;3.3;7.2;8.4
12.1;51;26.3;4;6;16.5;4.8;1.8;3.3;7.3;8.2
11.5;48.8;26.1;3.9;5.9;15.9;4.6;1.7;3.2;7;8
11.3;48.1;24.9;3.8;5.7;15.3;4.5;1.7;3.1;6.7;7.8
11.1;46.9;24.2;3.7;5.5;14.7;4.4;1.7;2.9;6.7;7.6
10.8;46.4;23.5;3.7;5.5;14.8;4.4;1.6;3;6.5;7.3
10.9;46.4;23.6;3.7;5.5;14.7;4.3;1.7;2.9;6.5;7.5
11.1;46.8;24.3;3.7;5.5;14.9;4.4;1.6;3;6.7;7.5
11.3;48.5;24.5;3.8;5.6;15.1;4.5;1.7;3.1;6.8;7.8
11.4;49;25.5;3.8;5.7;15.5;4.6;1.7;3.1;7;8
11.7;49.5;26.1;4;5.9;15.8;4.6;1.8;3.2;7.1;8.1
11.8;51.3;26.5;4.1;6.1;16.3;4.8;1.8;3.3;7.2;8.3
12.3;53.6;27.4;4.1;6.2;16.6;4.9;1.9;3.4;7.4;8.5
12.7;55;28.5;4.3;6.4;17.7;5.1;1.9;3.5;7.8;8.9
13;56.2;28.8;4.4;6.6;18.2;5.2;2;3.6;7.9;9
13.6;56.6;29.4;4.5;6.7;18;5.3;2;3.6;7.9;9.2
13.2;56.9;29;4.5;6.8;18.4;5.3;2;3.6;8;9.2
13.3;57.3;29.9;4.4;6.7;17.9;5.3;2;3.7;7.9;9.2
13.3;57.6;30;4.6;6.8;18.4;5.3;2.1;3.7;8;9.5
13.6;58.9;30.2;4.6;6.8;18.6;5.5;2.1;3.7;8.2;9.5
13.2;56.9;29.9;4.5;6.7;18.5;5.3;2.1;3.7;8.1;9.2
13;55.3;29.3;4.3;6.6;17.7;5.3;2;3.6;7.7;9.1
12.9;55;28.4;4.3;6.5;17.5;5.2;2;3.5;7.8;8.8
12.4;54.1;27.8;4.2;6.4;17.2;4.9;1.9;3.4;7.6;8.7
12.3;53;27.2;4.2;6.1;16.6;4.9;1.9;3.3;7.6;8.5
12.4;51.6;26.9;4.1;6.2;16.4;4.8;1.8;3.3;7.3;8.3
12.2;51.4;27.2;4.1;6.1;16.4;4.9;1.9;3.3;7.3;8.4
12;51.7;27.2;4.1;6.1;16.4;4.9;1.8;3.3;7.3;8.3
12.3;53.2;28;4.2;6.2;16.8;5;1.9;3.4;7.4;8.6
13;54.2;28.1;4.3;6.4;17.5;5;1.9;3.5;7.8;8.9
13.1;56.3;28.7;4.5;6.7;18;5.3;2;3.6;7.9;9
13.3;55.8;29.6;4.4;6.6;17.7;5.2;2;3.6;7.8;9.1
13;55.3;28.9;4.4;6.5;17.7;5.2;2;3.4;7.9;8.9
12.4;54.4;28.3;4.3;6.4;17.2;5.1;1.9;3.5;7.7;8.8
12.6;53.3;27.1;4.2;6.2;16.8;4.9;1.9;3.4;7.5;8.5
12.4;53;27.8;4.1;6.2;16.4;4.9;1.9;3.4;7.5;8.5
12.8;55.2;28;4.4;6.4;17.1;5;1.9;3.5;7.8;8.7
13.3;57.4;29.4;4.5;6.8;18.1;5.3;2;3.6;8;9.3
13.1;56;29.1;4.4;6.6;18;5.2;2;3.6;7.8;9.1
12.9;53.6;28.2;4.3;6.4;17.4;5.1;2;3.4;7.7;8.9
11.9;50.6;26.8;4;6;16.3;4.8;1.8;3.3;7.2;8.3
11.8;50.1;26.1;3.9;5.8;16;4.7;1.8;3.3;7.1;8.2
11.6;49.4;25.7;3.9;5.9;15.6;4.6;1.8;3.2;6.9;8.1
11.2;47.6;25.3;3.7;5.6;15.2;4.5;1.7;3.1;6.7;7.8
10.7;45.9;23.9;3.6;5.4;14.5;4.3;1.7;2.9;6.4;7.5
10.4;45.2;23.2;3.5;5.2;14.2;4.2;1.6;2.8;6.3;7.3
10.3;44.1;22.9;3.4;5.1;14.2;4.1;1.6;2.8;6.2;7.2
10.3;43.4;22.7;3.4;5.1;13.9;4.1;1.5;2.9;6.1;7.1
10.1;44.4;22.5;3.4;5.1;14;4.1;1.5;2.8;6.1;7.1
10.3;44.8;23;3.5;5.1;14.1;4.1;1.5;2.9;6.1;7.2
10.4;44.6;22.9;3.5;5.1;14.1;4.2;1.6;2.8;6.2;7.2
10.3;44.3;23.1;3.6;5.2;14.3;4.2;1.6;2.9;6.4;7.3
10.8;45.1;23.6;3.6;5.4;14.7;4.2;1.6;2.9;6.3;7.4
10.9;46.9;24.5;3.7;5.6;14.9;4.5;1.7;3;6.5;7.7
11;48.5;25.8;3.9;5.8;15.6;4.5;1.8;3.1;6.8;8
11.6;50.4;26.6;3.9;5.8;16.1;4.7;1.8;3.2;7.1;8.1
12.1;51.4;26.6;4;6;16.2;4.8;1.8;3.3;7.3;8.3
12.3;51.2;26.8;4.1;6.1;16.6;4.9;1.9;3.3;7.4;8.6
12;52.5;27.5;4.2;6.3;17;4.9;1.9;3.4;7.5;8.7
12.8;52.9;28.1;4.2;6.3;17.1;5;1.9;3.4;7.6;8.7
12.8;54.6;28.5;4.2;6.4;17.4;5.1;2;3.5;7.7;8.8
12.6;53.7;28.6;4.3;6.3;17.2;5.1;1.9;3.4;7.6;8.9
12.1;52.6;27.3;4;6.2;16.3;4.8;1.8;3.3;7.2;8.3
11.8;51.2;26.9;4;5.9;16.2;4.7;1.8;3.3;7.2;8.1
11.3;49.1;25.4;3.8;5.9;15.5;4.6;1.7;3.2;7;8
11.3;48.1;25.3;3.8;5.7;15.3;4.5;1.7;3.1;6.8;7.8
11;48.1;25.2;3.7;5.6;15;4.5;1.7;3.1;6.7;7.8
10.9;47.5;24.7;3.7;5.7;14.8;4.4;1.7;3;6.7;7.6
11.4;47.9;25.1;3.8;5.7;15;4.4;1.7;3;6.9;7.8
11.5;49.8;25.5;3.9;5.8;15.8;4.7;1.8;3.2;7;7.9
11.9;52.1;26.7;4;6.2;16.4;4.8;1.8;3.3;7.3;8.4
12.4;53.5;27.7;4.2;6.3;17.1;5;1.9;3.4;7.5;8.6
12.6;53.8;28.9;4.2;6.5;17.5;5.1;1.9;3.5;7.7;8.9
12.6;53.7;28.2;4.3;6.3;17.2;5.1;1.9;3.5;7.6;8.8
12.3;54.3;27.9;4.1;6.4;17;5;1.9;3.5;7.6;8.7
12.4;52;28;4.1;6.3;16.9;4.9;1.8;3.4;7.4;8.6
12.2;52.3;27;4.2;6.3;16.7;4.9;1.8;3.4;7.3;8.3
12.4;53.3;27.6;4.2;6.2;17.2;5.1;1.9;3.5;7.6;8.7
13.3;56.2;29.2;4.4;6.5;17.9;5.3;2;3.6;8;9
12.8;55.3;29;4.3;6.4;17.3;5.1;1.9;3.5;7.8;8.9
12.5;54.6;28.3;4.3;6.3;16.9;5.1;1.9;3.4;7.6;8.9
11.6;50.4;26.9;3.9;6;16.1;4.7;1.8;3.2;7;8.2
11.6;49.6;25.9;3.9;6;15.9;4.6;1.7;3.2;6.9;8
11.3;49.6;25.8;3.9;5.8;15.6;4.6;1.7;3.2;7;8
11.2;48.4;25.4;3.8;5.6;15.5;4.5;1.7;3.1;6.7;7.7
10.8;46.1;24.1;3.6;5.5;15;4.3;1.6;2.9;6.4;7.5
10.7;45.6;24.3;3.6;5.4;14.3;4.3;1.6;3;6.5;7.4
10.4;45.4;23.6;3.6;5.2;14.1;4.3;1.6;2.9;6.4;7.5
10.6;45.1;24;3.6;5.5;14.9;4.3;1.7;2.9;6.4;7.4
11.1;48.9;25.5;3.8;5.7;15.1;4.5;1.7;3.1;6.8;7.8
11.6;50.5;26.6;3.9;6;15.9;4.7;1.8;3.2;7.1;8.1
12.4;54.4;28.5;4.2;6.3;17.1;5.1;1.9;3.5;7.5;8.7
13.2;58.3;30.1;4.5;6.7;18.3;5.3;2;3.7;8.1;9.2
14;58.8;31.4;4.7;7;19;5.6;2.1;3.8;8.4;9.5
14.1;59.7;31.4;4.6;7.2;18.9;5.7;2.1;3.8;8.4;9.9
14.6;61;32.1;4.8;7.3;19.4;5.7;2.2;3.9;8.8;10
14.4;61.2;32.7;5;7.4;19.7;5.8;2.2;4;8.8;10.2
14.6;62.3;32.9;4.9;7.4;19.6;5.8;2.2;4;8.9;10.3
14.4;62.6;32.9;4.9;7.5;19.8;5.9;2.2;4;8.8;10.2
14.6;64;33.7;5;7.4;19.8;5.9;2.2;4.1;8.6;10.3
14.8;64.4;33.3;5;7.5;20.1;6;2.2;4.2;9;10.5
14.6;63;32.7;4.9;7.5;20.3;5.9;2.3;4.1;8.8;10.3
14.8;63.3;33.5;4.9;7.4;20;5.9;2.2;4;8.9;10.4
14.5;60.8;33;4.9;7.3;19.9;5.7;2.2;4;8.7;10.1
14.3;61.3;32.6;4.8;7.4;19.8;5.7;2.2;4;8.7;10.1
13.9;61;31.6;4.7;7.2;19.2;5.6;2.1;3.9;8.6;9.9
13.8;60.2;30.9;4.6;7;19;5.6;2.1;3.8;8.5;9.7
13.6;58.4;30.5;4.6;6.9;18.9;5.6;2.1;3.8;8;9.5
