1_G137.1;3_G36.31;6_G63.29;2_G-56.47;8_G40.43
119.7;36.7;70.6;0;0
109.3;36.8;70;0;0
96.8;36.8;70.5;0;0
96.8;38;70.8;0;0
96.3;37.7;71.1;0;0
87.3;38.1;71.2;0;0
83;37.6;69.8;0;0
79.8;37.4;72.7;0;0
82.4;36.9;70.2;0;0
85.8;36.9;70.9;0;0
94.8;35.8;69.5;0;0
109.2;33.3;71.6;0;0
119.6;30.5;71;0;0
131.9;30.2;69.8;0.8;0.8
138.6;30.2;70.4;2.9;2.9
132.3;32.7;70;6.1;6.7
124.7;35.9;70.4;9.9;11.5
115.8;38.2;69.5;13.1;16.2
109.1;38.1;69.7;15.8;20.2
105.7;36.4;68.5;16.9;23.1
105.9;33.9;69.2;18.2;24.3
107.4;32.7;67.8;18.2;24.7
109.1;33.1;70.2;18;23
109.3;33.9;68.4;16.4;19.2
111.6;34.8;69.9;13.7;15
118.9;36.5;69;9.9;10
122.7;36.5;68.6;5.6;5.2
127.5;37.1;68.8;1.9;1.6
124.5;38.6;68.7;0.1;0.1
123.3;39.6;69.5;0;0
122.9;40;68;0;0
129.2;40.2;68.4;0;0
139;37.8;69.6;0;0
145.6;35.9;68.2;0;0
140.9;35.2;67.5;0;0
131.8;36.7;67.5;0;0
124.2;38.9;68.8;0;0
114.1;43.7;67.8;0;0
108.9;45.4;68.4;0;0
115.6;46.1;67.2;0;0
118.8;45.8;67.5;0;0
119.9;44.3;68.6;0;0
112.1;43.2;67.4;0;0
98.6;42.9;67.5;0;0
101;42.3;68.8;0;0
94.7;42.2;67.5;0;0
90.4;42.7;66.8;0;0
82.9;43.6;67.3;0;0
77.6;45.3;67.5;0;0
76.8;45.7;66.7;0;0
79;46.1;67.2;0;0
85.2;45.7;66.6;0;0
94.9;48;65.2;0;0
108.3;49.4;66.4;0;0
116.1;50.4;65.5;0.8;1
115;51.3;66.9;3.2;4.1
109.6;52.6;66;7.1;9.7
103.2;52;66.2;11.3;15.5
97;50.8;66.5;14.4;20.7
91;51.7;66.5;16.2;24.7
88.7;53.1;66;17.3;27
86.7;52.6;66.3;16.8;27.6
88.1;53.5;65.1;16.4;27.5
85.3;55.6;65;14.8;26.3
87.8;56.8;65.6;12.7;24
88.3;59;64.8;10.1;20.1
96.5;60;65.3;6.9;14.9
98.8;60;65.2;3.8;8.7
102.4;60;65.1;1.3;3.2
102.4;62.5;65.5;0.1;0.3
101.8;64.4;65.1;0;0
100.6;64.5;65.1;0;0.1
104.4;67.4;65;0;0
111.9;65.6;65.4;0;0
116.3;63.6;64.1;0;0
118.4;62;64.1;0;0
112.9;61.3;64.5;0;0
104.7;61;64.3;0;0
99.2;61.6;64.3;0;0
92.2;62;62.9;0;0
99.7;62.8;64.5;0;0
103.2;64.8;63.4;0;0
100.5;66.5;63.2;0;0
90.2;67.8;64.5;0;0
74;70.8;62;0;0
70.8;73;63.7;0;0
64.9;76.5;63.7;0;0
59.9;75.7;62.5;0;0
54;75.2;64.7;0;0
49.9;74.7;62.7;0;0
48.6;75.4;63.1;0;0
48.6;78.3;62.6;0;0
53.4;80.1;63.4;0;0
62.6;82.2;62.9;0;0
73.9;82.4;62.7;0;0
81.3;84.6;62.5;0.7;0.7
81.6;87.2;62.2;3.2;3.1
72.3;91.6;62;7.8;7.4
60.6;98.5;62;12.1;12.7
50.9;99.4;62.9;15.5;17.9
43.2;101.1;62.1;18.3;22.6
38;99.8;62.7;20.1;26.6
37.1;98.6;62.9;20.5;28.6
37.4;99.4;61.6;20.9;29.9
35.1;99.4;62.8;20.6;30.7
33.8;102.9;62.8;18.6;28.2
32.9;104.8;62.1;17.1;23.8
39.5;107.3;61.2;13.2;17.7
44.4;108.2;61.2;8.7;10.9
52.6;106.2;61.9;3.8;4.3
53.7;108.2;60.7;0.6;0.6
54.3;109.4;60.8;0;0
54.2;108.9;62.2;0.1;0.1
58;108.4;61.1;0;0
61.4;108.9;59.7;0;0
67.1;113.4;62;0;0
64.9;110.6;61.1;0;0
59.4;111.9;61.1;0;0
51.1;112.5;60.2;0;0
45.6;114.8;60.1;0;0
41;116.4;59.9;0;0
45.1;117.9;61.2;0;0
53.5;114.9;59.4;0;0
50.1;117.4;58.6;0;0
42.8;116.4;60.3;0;0
27.9;118.5;59.6;0;0
23;120;60.1;0;0
19.1;118.4;59.9;0;0
16.1;116.1;59.5;0;0
10.5;116.1;59.7;0;0
7.3;113.5;60;0;0
5.2;114.3;58.9;0;0
3.4;117.4;60.1;0;0
5.4;116.5;59.1;0;0
7.9;117.1;60.8;0;0
13.3;113.3;59.3;0;0
19.6;111.2;60;0.4;0.4
23;107.6;59.5;2.2;2.5
22.6;106.1;59.6;6.3;7.4
20.7;105.6;58.3;10.6;13.4
18.4;103.8;60.3;14;19.1
14.5;102.7;58.7;15.5;23.1
11.1;107.2;59.9;15.6;25.2
9.9;105.8;59.6;15.1;26.7
12.5;106.8;59.6;14.7;27.3
17.6;103.5;60.5;14.1;27
22.9;103.1;59.2;13.8;26.7
21.5;99.2;58.9;12.7;24.2
25.7;95.7;58.5;10.8;19.7
30.5;96;59.7;7.5;13.3
38;96.9;59.3;3.8;6.5
42.7;95.7;59.2;0.8;1.3
46.4;94;59.1;0;0
49.3;91;59.9;0;0.1
58;86.3;59;0;0
64.4;86.2;59.9;0;0
69.5;87;59.5;0;0
69.8;87.7;59.2;0;0
66.4;84.9;59.7;0;0
63.9;84.9;59.1;0;0
62.7;83.1;59;0;0
63.7;80.1;59.9;0;0
69.6;77.3;58.5;0;0
85;75.9;59.5;0;0
83;73.9;59.4;0;0
82.3;71;60;0;0
69.1;69.5;59.6;0;0
66.8;68.7;59.6;0;0
63.8;68.3;58.8;0;0
60.6;67.2;59.7;0;0
51.5;67.4;57.9;0;0
46.9;67.4;59.2;0;0
44.1;66.7;59.3;0;0
42.9;64.8;59.9;0;0
46;62.7;57.8;0;0
48.3;60.1;59.7;0;0
51.9;58.5;59.6;0;0
56.2;57.2;59.2;0.3;0.3
55.5;56.1;59;1.8;2.3
49.9;57.6;60.1;5.2;6.8
42.9;59.5;59.2;9.5;12.7
39.5;61.7;58.7;13.6;17.9
36.4;61.4;58.8;16.7;22.2
37.6;60.1;58.2;18.7;24.3
40;58.2;59.5;20.3;27.2
45.1;54.2;59.1;20.8;27.1
51.8;50.2;58.4;20.7;27.9
57;47.7;59.3;19.7;27.2
51.2;47.3;59.4;17.6;25.4
53.1;47.5;58.8;14.3;21.4
56.5;48.9;58.5;9.8;15.1
64.6;50.8;59.7;4.9;7.7
69.8;51.6;59.5;1.2;1.9
70.8;51.6;59.4;0;0
74.1;50.4;58.7;0;0
82.2;48.8;59.1;0;0
90;45.8;59.5;0;0
98.5;45.6;57.3;0;0
104.5;44.3;59.7;0;0
102.6;44.9;58.4;0;0
103.1;45.2;59.4;0;0
99.8;45.1;58.6;0;0
96.1;46;60.1;0;0
98.6;46.1;59.5;0;0
110.5;46.3;59;0;0
104.5;47.3;58.4;0;0
102;48.8;59.7;0;0
88.6;50.4;59.6;0;0
80.9;51.1;58.7;0;0
77.4;53;59.6;0;0
75.9;53.5;59.6;0;0
69.2;51.8;58;0;0
65.5;51;59;0;0
64.1;52.5;59.2;0;0
63.4;53.4;58.8;0;0
66.1;55.8;58.2;0;0
72.5;58.2;59.9;0;0
84;60.9;60.1;0;0
96;62.9;58.8;0.2;0.3
98.4;64.1;58.6;2;2.2
94.8;65;59.2;6.1;6.8
83.5;66.5;58.9;11.8;12.8
77.6;69.1;58.6;16.3;17.7
68.9;69.6;58.7;20;22.5
62.1;72.8;59.8;22.2;25.7
57.7;73.3;59.3;23.6;27.3
58.6;74.7;59.7;22.7;26.5
58.9;77.6;58.9;20.6;25.7
63.9;79.9;58.2;18.8;23.1
62.7;83;59.7;15.9;20.6
66.8;83.1;59.6;12.3;16
72.1;84.7;58.9;7.7;10.5
76.1;86;59.3;3.6;4.8
78.4;87.8;59.7;1.1;1.6
77.3;87.5;58.5;0.1;0.2
78.1;86.9;58.3;0;0
80.5;87.4;59.6;0;0
84.5;88.1;58.8;0;0
92;90.3;58.3;0;0
91.4;92.5;59;0;0
86.8;91.4;58.8;0;0
79;91.4;59;0;0
73.8;92.2;58.2;0;0
67.9;93.1;58.9;0;0
64.7;93;59;0;0
71.3;99;58.6;0;0
67.1;100;59.5;0;0
60.3;105.6;59.1;0;0
47;106.3;58.8;0;0
38.1;106.2;58.3;0;0
36.1;107.5;59.4;0;0
34.6;105.4;59;0;0
28.1;106.2;59.5;0;0
23.8;105.2;59.8;0;0
19.9;106;57.7;0;0
18.5;106.8;59.2;0;0
22.4;110.1;57.8;0;0
28.3;109.3;58.2;0;0
42;111.5;59;0;0
56.3;108.7;57.8;0.1;0.1
66.6;107.3;59.1;1.3;1.2
67.6;107.2;58.4;3.9;4.2
61.7;105.2;58.1;7.2;8.8
57.3;107.3;59.5;9.5;14.1
51.8;106.9;58;10.9;19.3
47.3;105.7;58.4;12;23.7
46.1;103.8;58.2;11.4;26.5
48.9;104.7;59.4;10.9;27.6
49;102.5;59.5;10.4;26.3
50.5;105.8;59;10.1;24.7
49.3;106.7;58.2;9.7;20.5
53.2;104.4;58.6;9;16.8
58.5;101.4;58.4;7.1;11.5
65.1;100.5;58.8;4.3;5.9
69;98.8;58;1.5;1.9
69.9;97.8;58.3;0.1;0.1
69.1;98.4;58.9;0;0
71.7;98.4;58.5;0;0
77.1;97.9;58.4;0;0
88.5;92.7;58.8;0;0
95.3;91.2;58;0;0
94.1;89.2;57.9;0;0
83.7;89.5;59.5;0;0
74.3;96.4;59.2;0;0
63.9;100.5;58.9;0;0
62.4;98.1;58.5;0;0
74;95.3;57.5;0;0
80.2;87.1;59.2;0;0
84.7;82;57.7;0;0
77.6;78.6;58.8;0;0
69.7;76.9;59;0;0
65.6;78.5;58.8;0;0
61.1;83.3;57.5;0;0
50.8;84.9;58.5;0;0
43;87.7;57.9;0;0
40.4;87.9;58.6;0;0
43.9;84.3;57.6;0;0
53.7;78.1;58.7;0;0
66.5;73;58.6;0;0
80.3;69.1;59.4;0;0
93.9;69.3;58.4;0;0
104.7;69.2;57.2;0.9;1.4
105.2;68.9;59.3;3.3;5.1
100.3;69.1;58.5;6.8;10.7
92.9;68;58.6;10.7;16.1
89.6;67.3;58.8;14.1;20.6
83.6;65.4;58.4;16.2;22.6
83.3;65.2;57.2;18;24.1
84.6;64.2;58.8;18.9;24.2
86.8;64.4;58.5;18.7;23.8
87.5;61.5;58.8;18.4;22.7
88.8;61;58;16.7;20.7
96.5;59.8;59.3;14;17.3
105;57.1;58.5;9.9;12.3
110.2;53.4;57.3;5.3;6.8
117.1;52.7;57.5;1.8;2.4
120;53.3;58;0.1;0.2
113.9;57.4;59.3;0;0
112.7;59.7;58.1;0;0
114.7;62.7;57.1;0;0
122;62.3;57.7;0;0
128.4;60.1;58.2;0;0
124.4;58.3;57.8;0;0
122.1;57.8;58.5;0;0
111.6;58.4;58.1;0;0
109.2;58.5;58.8;0;0
103.3;61.1;57.6;0;0
107.7;62.2;58.4;0;0
109;64.3;58;0;0
103.6;66;58.8;0;0
96.2;65.2;58.5;0;0
84.7;63.9;58;0;0
82.8;64.9;59.1;0;0
78.8;66.7;58.7;0;0
70.4;67.5;57.9;0;0
63.8;70.5;59.3;0;0
58.5;71;57.5;0;0
57.5;71.6;57.8;0;0
59.2;71.4;59.1;0;0
65.3;72.3;57.2;0;0
76;75.9;57.9;0;0
82.5;77.5;58.4;0;0
89.2;84.4;58.4;0.5;0.6
89.9;85.3;58.2;2.2;2.4
87.6;86.8;58.3;5.6;6
79.5;87;58.6;9.5;10.4
72.6;88.1;59;13.8;15.2
63.2;89.3;57.6;17.2;19.7
54.2;92.8;58.3;19.2;23.2
50.4;94.1;58.1;19.8;24.7
48.3;98.4;56.9;18.7;24.9
46.7;105;58.8;17;24.1
45.9;104.7;58.2;13.9;21.7
47;109.7;57.6;10.6;17.7
50.6;111.5;57.8;7.2;13.5
51.9;112.9;57.3;4.2;8.2
55.2;112.9;58;1.7;3.4
56.1;114.3;57.6;0.3;0.6
56.2;111.8;58.7;0;0
58.9;111.5;58.5;0;0
61.8;111;57.1;0;0
65;117.3;58.3;0;0
67.8;120;58.1;0;0
63;122.2;58.2;0;0
54.9;123.9;57.2;0;0
47;126.8;57;0;0
42;124.9;58.5;0;0
37.4;123.9;57.9;0;0
41.4;122.7;57.4;0;0
47.1;126.2;57.5;0;0
44.1;127.4;57.8;0;0
35.2;128.7;57.8;0;0
22.3;125.1;57.5;0;0
20.4;125.9;57.5;0;0
17.6;128.3;57.8;0;0
13.6;125.5;57.5;0;0
7.8;129.2;57.9;0;0
4.1;126.8;57.4;0;0
3.1;126.2;59.2;0;0
4.4;128.2;58.1;0;0
11;126.2;56.9;0;0
20.4;125.2;58.3;0;0
34;126.8;58;0;0
44.7;127.1;57;0.9;1
45.8;126.1;57.6;3.8;4.4
38.2;126.6;57.8;8.3;10.7
30.5;126.4;58.1;12.3;17
25;125.5;57.5;14.3;21.8
22.1;124.3;57.9;14.6;24.6
21.5;126.1;56.9;14.1;24.9
23.3;128.4;58.3;13.2;25.1
25.4;126;56.9;12.7;23.7
26.8;123.1;58.1;12.8;21.7
29;125.8;57.6;13.2;19.8
27.6;127;56.5;12.6;16.5
33;123.1;57.1;11.3;12.4
35.3;124.7;58.2;8.3;7.9
40.9;122.3;57.9;4.2;3.6
43.6;121.8;58.6;1;0.7
43.1;120.9;58.3;0;0
44.7;120.8;58.2;0;0
49.2;120.6;58.1;0;0
55.4;119.3;57.9;0;0
62.9;117.1;58;0;0
63.8;114.9;57.1;0;0
61.7;112.4;57.2;0;0
57.3;111;58.3;0;0
54;105.8;57.6;0;0
52.6;107.8;57.2;0;0
55.2;108.2;58.2;0;0
62.7;108.5;58;0;0
58.5;110.3;58.2;0;0
51;110.3;58;0;0
39.2;108.2;58.7;0;0
37.2;106;57.7;0;0
36.3;104.5;56.6;0;0
34.7;101.4;58;0;0
28.6;98.7;58.3;0;0
25.4;95.4;58.5;0;0
24;95.4;57.5;0;0
23.3;94.5;57.4;0;0
26.4;92.5;58.4;0;0
28.7;96.3;58.6;0;0
31.9;97.3;58.4;0;0
35.2;95.7;57.1;0.3;0.5
35.9;96.8;58.4;1.6;3.2
34.4;96;57.7;4.3;8.8
31.5;94.8;57.3;7.6;16
29.9;91.9;58.2;10.6;22
27.9;89.5;59;13.4;26.4
28.1;86.1;57.4;15.2;28.2
31.1;84.3;57.5;16.5;29.2
36.6;82.1;58.5;16.2;27.9
43.5;79.9;57.3;15.6;25.4
49.8;79.4;58;14.9;21.8
47.5;81.4;58.9;13;17.6
52.4;76.8;57.7;10.3;13.5
56.7;74.5;58;7;8.8
65.5;71;58;3.4;4.1
70.7;68.6;58;0.7;0.9
71.3;66.7;57.4;0;0
75;67.7;57.4;0;0
81;63.9;57.6;0;0
84.9;63.9;59.2;0;0
93.1;63.3;59.2;0;0
93.8;64.2;58.6;0;0
93.5;62.6;58;0;0
88.5;62.3;57.1;0;0
85;62.2;58.7;0;0
82;63.3;59.2;0;0
83.5;64.2;57.4;0;0
99.9;65.4;59;0;0
95.5;63.6;57.5;0;0
91.5;61;58.1;0;0
82.6;57.8;58.6;0;0
81.3;55.3;57.6;0;0
80.1;52.6;58.4;0;0
76.7;53.1;58.9;0;0
66.4;52.7;58.2;0;0
59.8;54.4;58.4;0;0
56.6;56.7;58;0;0
52.8;56.9;58.4;0;0
53.5;58.4;58.9;0;0
54.4;57.8;57.8;0;0
57.9;55.3;57.4;0;0
60.6;52.6;58.5;0.2;0.2
63.5;51.9;59;1.4;1.6
60.1;51.7;58.7;4.6;5.4
55.9;51.7;57.9;9.3;10.7
51.2;51.5;57.9;14;16
45.9;53;57.8;17.8;20.7
43.3;54.2;57.7;20.4;23.9
40.8;55.6;58.3;21.4;26.8
42;56.6;57.9;21.9;28
47.1;56.7;57.3;20.5;27.3
55.3;54.7;58.3;17.8;25.3
51.2;55.4;59.1;14.9;22.7
54.4;53.6;58.7;11.4;18.4
59.3;54.3;59;7.6;12.6
63.2;54.4;58.2;3.7;6.5
68.1;54.4;58.3;1;1.7
65.2;59.9;57.9;0.1;0.1
65.6;60.4;58.6;0;0
68.1;61.6;58.8;0;0
76.2;61.4;57.8;0;0
86.2;58.9;58.3;0;0
94.6;57.7;58.6;0;0
94.2;57.9;58;0;0
89.3;61.1;57.8;0;0
82.7;64.3;58.6;0;0
74.5;67.5;59.4;0;0
72.6;68.9;58.2;0;0
84.8;68.9;58.1;0;0
83.9;71;59.3;0;0
79.9;71.5;58.3;0;0
67.7;72.5;57;0;0
58.7;74.1;58.1;0;0
54.8;75.6;58.7;0;0
51.6;78.4;59.6;0;0
45.7;76;58.6;0;0
42.3;77.4;59.1;0;0
39.5;76.7;58.9;0;0
37.7;80.1;58;0;0
41.9;83.9;57.4;0;0
46.6;84.7;59.3;0;0
58.6;87.9;59.2;0;0
69.4;89.9;59.5;0.2;0.2
76.9;89.7;57.9;1.9;1.8
73.5;90.7;57.1;5.4;5.3
63.9;94.8;58.4;9.8;10.7
55.5;95.4;58.5;12.8;16
48.4;100;57.7;14.7;21
41.1;106.9;58.4;14.4;23.6
36.5;110.2;58.1;13.7;26
33.6;110;58.5;13.8;27.7
31.1;111.5;58.9;13.8;27.5
34.9;112.4;59.5;13.7;25.8
34.4;111.6;57.7;13.2;22.7
37.2;113.1;58.1;12;18.4
38.5;115.6;57.9;9.8;13.7
41.2;116.2;58.4;6;8
45.9;122;58.6;2;2.5
47.4;120.9;57.8;0.1;0.2
44.6;121.8;58;0;0
47.4;120.2;58.6;0;0
51.9;123.2;59;0;0
60.8;121.1;58;0;0
63.7;121.1;58;0;0
59.5;121;58.8;0;0
52.3;122.3;59;0;0
43.4;122.4;58.1;0;0
37.3;126.4;58.4;0;0
34.8;125.9;59.3;0;0
45.4;123.8;58.3;0;0
44;126.4;58.2;0;0
40.9;126.3;58.6;0;0
29;123;58.9;0;0
20.6;124.7;57.6;0;0
19.1;125.1;58.7;0;0
17.1;122.7;59.1;0;0
10.5;124.1;58.6;0;0
6.3;124.3;57.7;0;0
3.6;123.7;58.8;0;0
4.4;123.2;57;0;0
10.4;123.4;59.3;0;0
