2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
12.9;58.6;29.7;4.9;7.1;17.8;5.6;2.2;3.9;8.3;9.4
12.2;55.6;28.2;4.7;6.7;16.9;5.3;2.1;3.7;7.8;8.9
11.7;53.4;27;4.5;6.4;16.2;5.1;2;3.5;7.5;8.5
11.6;52.8;26.7;4.4;6.4;16;5;2;3.5;7.4;8.4
11.4;52.2;26.4;4.4;6.3;15.9;5;2;3.4;7.4;8.4
11;50.3;25.5;4.2;6.1;15.3;4.8;1.9;3.3;7.1;8.1
10.8;49.3;24.9;4.1;5.9;14.9;4.7;1.9;3.2;6.9;7.9
10.6;48.5;24.5;4.1;5.8;14.7;4.6;1.8;3.2;6.8;7.8
10.6;48.5;24.5;4.1;5.8;14.7;4.6;1.9;3.2;6.8;7.8
10.9;49.8;25.2;4.2;6;15.1;4.8;1.9;3.3;7;8
11.3;51.5;26;4.3;6.2;15.6;4.9;2;3.4;7.3;8.2
12;54.8;27.7;4.6;6.6;16.6;5.2;2.1;3.6;7.7;8.8
12.6;57.8;29.2;4.8;6.9;17.5;5.5;2.2;3.8;8.1;9.2
13.2;60.6;30.6;5.1;7.3;18.4;5.8;2.3;4;8.5;9.7
13.5;61.8;31.3;5.2;7.4;18.7;5.9;2.4;4.1;8.7;9.9
13.7;62.7;31.7;5.2;7.5;19;6;2.4;4.1;8.8;10
13.9;63.6;32.1;5.3;7.6;19.3;6.1;2.4;4.2;9;10.2
13.9;63.9;32.3;5.3;7.7;19.4;6.1;2.4;4.2;9;10.2
13.9;63.9;32.3;5.3;7.7;19.4;6.1;2.4;4.2;9;10.2
14;64;32.3;5.3;7.7;19.4;6.1;2.4;4.2;9;10.2
14;64.3;32.5;5.4;7.7;19.5;6.1;2.4;4.2;9;10.3
13.9;64;32.3;5.3;7.7;19.4;6.1;2.4;4.2;9;10.2
14;64.1;32.4;5.3;7.7;19.4;6.1;2.4;4.2;9;10.3
13.7;62.8;31.7;5.2;7.5;19;6;2.4;4.1;8.8;10.1
13.5;61.9;31.3;5.2;7.4;18.8;5.9;2.4;4.1;8.7;9.9
13.3;61.2;30.9;5.1;7.3;18.5;5.8;2.3;4;8.6;9.8
13;59.8;30.2;5;7.2;18.1;5.7;2.3;3.9;8.4;9.6
12.8;59;29.8;4.9;7.1;17.8;5.6;2.2;3.9;8.3;9.5
12.7;58.2;29.4;4.8;7;17.6;5.6;2.2;3.8;8.2;9.3
12.6;57.9;29.2;4.8;6.9;17.5;5.5;2.2;3.8;8.1;9.3
12.7;58.5;29.5;4.9;7;17.7;5.6;2.2;3.9;8.2;9.4
13;59.8;30.2;5;7.2;18.1;5.7;2.3;3.9;8.4;9.6
13.3;61.1;30.8;5.1;7.3;18.5;5.8;2.3;4;8.6;9.8
13.4;61.8;31.2;5.1;7.4;18.7;5.9;2.3;4.1;8.7;9.9
13.3;61;30.8;5.1;7.3;18.5;5.8;2.3;4;8.6;9.8
12.9;59.4;29.9;4.9;7.1;17.9;5.7;2.3;3.9;8.4;9.5
12.6;58;29.2;4.8;6.9;17.5;5.5;2.2;3.8;8.2;9.3
12.3;56.9;28.7;4.7;6.8;17.2;5.4;2.2;3.7;8;9.1
12.2;56.4;28.4;4.7;6.8;17;5.4;2.1;3.7;7.9;9
12.8;59.1;29.8;4.9;7.1;17.8;5.6;2.2;3.9;8.3;9.5
12.8;59.2;29.8;4.9;7.1;17.9;5.6;2.2;3.9;8.3;9.5
12.7;58.6;29.5;4.9;7;17.7;5.6;2.2;3.9;8.2;9.4
12.1;55.7;28.1;4.6;6.7;16.8;5.3;2.1;3.7;7.8;8.9
11.4;52.7;26.6;4.4;6.3;15.9;5;2;3.5;7.4;8.5
11.3;52.1;26.2;4.3;6.2;15.7;5;2;3.4;7.3;8.4
11.1;51.2;25.8;4.2;6.1;15.5;4.9;1.9;3.4;7.2;8.2
10.7;49.3;24.8;4.1;5.9;14.9;4.7;1.9;3.2;6.9;7.9
10.4;47.8;24.1;4;5.7;14.4;4.6;1.8;3.2;6.7;7.7
10.1;46.7;23.5;3.9;5.6;14.1;4.5;1.8;3.1;6.6;7.5
10;46.3;23.3;3.8;5.5;14;4.4;1.8;3.1;6.5;7.4
10.1;46.5;23.4;3.8;5.6;14;4.4;1.8;3.1;6.5;7.5
10.2;47.1;23.7;3.9;5.6;14.2;4.5;1.8;3.1;6.6;7.6
10.4;48.1;24.2;4;5.8;14.5;4.6;1.8;3.2;6.8;7.7
10.6;49;24.7;4;5.9;14.8;4.7;1.9;3.2;6.9;7.9
10.9;50.3;25.3;4.2;6;15.2;4.8;1.9;3.3;7.1;8.1
11.1;51.6;26;4.3;6.2;15.6;4.9;1.9;3.4;7.3;8.3
11.5;53.3;26.8;4.4;6.4;16.1;5.1;2;3.5;7.5;8.6
11.9;55.1;27.7;4.5;6.6;16.6;5.3;2.1;3.6;7.8;8.8
12.1;56.1;28.3;4.6;6.7;16.9;5.4;2.1;3.7;7.9;9
12.2;56.7;28.5;4.7;6.8;17.1;5.4;2.1;3.7;8;9.1
12.2;56.8;28.6;4.7;6.8;17.1;5.4;2.1;3.7;8;9.1
12.3;57.2;28.8;4.7;6.8;17.2;5.5;2.2;3.8;8.1;9.2
12.5;57.9;29.1;4.8;6.9;17.4;5.5;2.2;3.8;8.1;9.3
12.7;58.8;29.6;4.9;7;17.7;5.6;2.2;3.9;8.3;9.5
12.4;57.4;28.9;4.7;6.9;17.3;5.5;2.2;3.8;8.1;9.2
12;55.8;28.1;4.6;6.7;16.8;5.3;2.1;3.7;7.9;9
11.8;55;27.7;4.5;6.6;16.6;5.2;2.1;3.6;7.7;8.8
11.5;53.6;26.9;4.4;6.4;16.1;5.1;2;3.5;7.5;8.6
