2_C-10.61;3_C151.15;4_C-9.47;5_C201.84;6_C-6.27;9_C130.49;10_C228.66;11_C-138.89;12_C-27.88;13_C-13.33;14_C63.6
18.4;75.1;39.2;5.9;9.5;23.3;7.6;3;5.1;11.7;12.6
17.6;75.2;38.4;5.7;9;22.8;7.3;2.8;4.9;11.2;12
16.9;70.1;35.8;5.4;8.6;21.7;6.8;2.7;4.7;10.5;11.5
16.7;68.9;35.2;5.4;8.6;21.4;6.9;2.6;4.7;10.4;11.1
16.5;67.9;34.4;5.2;8.4;20.9;6.7;2.6;4.6;10.2;10.9
15.5;64.1;33.5;5.1;8.1;19.5;6.5;2.5;4.4;9.9;10.5
15.5;62.8;32.4;4.8;7.8;19.5;6.2;2.5;4.2;9.5;10.3
14.6;61.4;31.5;4.8;7.4;18.9;6.1;2.4;4.1;9.3;9.8
14.6;61.2;30.5;4.6;7.4;18.6;6.1;2.4;4;9;9.7
14.6;60.7;31;4.7;7.4;18.6;6;2.3;4.1;9.2;9.7
14.8;60.3;31.5;4.6;7.6;18.4;6.2;2.4;4.1;9.2;9.7
14.2;59.9;31.8;4.7;7.5;18.5;6.1;2.3;4.1;9.3;9.7
14.7;60.3;31.5;4.7;7.5;18.8;6.1;2.4;4.2;9.5;9.9
14.9;62.7;32.2;4.8;7.6;19.2;6.2;2.4;4.1;9.5;10
15.3;63.5;32.7;4.9;7.9;19.4;6.3;2.5;4.3;9.7;10.3
16;64.9;34;5;8.2;20;6.6;2.6;4.4;10;10.4
16.3;68;33.9;5.2;8.2;20.5;6.8;2.6;4.6;10.3;10.9
16.8;68.5;36;5.4;8.6;21.1;7.1;2.8;4.7;10.5;11.1
17;69.6;36.8;5.5;8.9;21.9;7.1;2.8;4.9;10.6;11.6
17.3;71.5;36.8;5.6;8.8;22.3;7.2;2.8;5;11;11.5
17.6;74.2;36.8;5.6;9.1;22.4;7.3;2.9;5;11.2;12
17.9;74.4;38.3;5.8;9.1;22.5;7.5;2.9;5;11.3;12
18.4;75.6;38.9;5.9;9.4;23.1;7.6;3;5.1;11.5;11.9
17.9;73.5;38.6;5.7;9.1;22.8;7.4;2.9;5;11.2;11.8
17.2;70.6;36.9;5.5;8.8;21.6;7.1;2.8;4.8;10.4;11.3
16.7;68.2;35.7;5.3;8.7;21.4;6.9;2.7;4.6;10.5;11.2
16.1;68;34.4;5.1;8.5;20.6;6.7;2.6;4.5;10.5;10.7
16.2;65.9;33.8;5.1;8;20.5;6.6;2.6;4.5;10.1;10.7
15.6;64.5;34;5.1;8;20;6.6;2.5;4.4;10;10.5
15.8;66.6;33.6;5;7.9;19.8;6.5;2.6;4.3;9.9;10.3
16.2;67.2;34;5.1;8.3;20.3;6.7;2.6;4.5;10;10.7
16.7;68;35.1;5.3;8.5;21.4;6.9;2.7;4.7;10.5;11
17.3;72.3;36.8;5.4;8.9;21.8;7.2;2.9;4.8;11;11.4
17.9;75.9;37.9;5.8;9.2;22.8;7.3;2.9;5.1;11.5;12.1
18;75.2;38.3;5.7;9.4;22.7;7.6;2.9;5.1;11.3;12
17.7;75.4;38.3;5.7;9.3;23.1;7.3;2.9;5;11.3;11.8
17.6;74.5;37.9;5.8;9.2;22.3;7.3;2.9;5.1;11.3;11.7
17.7;73.4;37.5;5.5;9;22.5;7.2;2.8;4.8;11;11.6
17.2;72.4;37.5;5.5;8.9;22;7.2;2.8;4.9;10.9;11.4
18;75.1;38.4;5.8;9.3;22.9;7.6;2.9;5.1;11.4;11.8
18.4;77.4;39.1;5.9;9.5;23.3;7.7;2.9;5.1;11.5;12.2
18.6;76.1;39.2;5.8;9.3;22.9;7.8;3;5.1;11.6;12.2
17.4;73.9;37.7;5.7;9.2;22;7.3;2.8;5;11.2;11.8
16.7;69.3;36.1;5.4;8.6;21;6.9;2.7;4.6;10.5;11.1
16.5;69.3;35.2;5.2;8.6;20.9;6.8;2.7;4.6;10.6;11
16.1;67.6;34.9;5.2;8.4;20.4;6.9;2.6;4.6;10.2;10.8
15.7;65.8;34.3;5;8.1;20;6.5;2.5;4.4;10;10.5
15.3;64.7;32.6;5;7.9;19.8;6.4;2.5;4.4;9.6;10.2
15;63.2;31.9;4.8;7.7;18.9;6.3;2.4;4.2;9.4;10
15.2;62.5;32.4;4.8;7.8;18.8;6.3;2.4;4.2;9.7;10.1
15.6;64.7;33.4;4.9;8;19.4;6.5;2.5;4.3;9.7;10.2
16.2;66.2;34.6;5.2;8.3;20.2;6.8;2.7;4.6;10.1;10.7
17.2;70.4;36.5;5.5;8.8;21.4;7.2;2.8;4.9;10.8;11.3
18.2;76.9;39.6;5.8;9.2;22.6;7.6;3;5.2;11.5;12
19.5;80.2;42;6.1;10;24.2;8;3.1;5.5;12;12.8
20;83.6;42.4;6.4;10.2;25.3;8.3;3.2;5.6;12.6;13.2
20.7;84.9;43.8;6.5;10.5;25.4;8.3;3.3;5.7;12.6;13.3
20.3;83.3;42.9;6.7;10.7;26.2;8.5;3.3;5.7;13.1;13.5
